PRACTICE_ID,STATE,NUM_EPS_VM,GPRO,ELIG_UP_ADJUST,CATEGORY,VM_PAYMENT_ADJ,UPDATED_VM,COST_COMP_TIER_TEXT,QUAL_COMP_TIER_TEXT,ZB_COST_CMPSCR_POOL_RND,ZB_QUAL_CMPSCR_POOL_RND
10042243933,OR,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,High,Average,4.15,-0.52
10042891349,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.21
10043778595,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,1.16,0.16
10044576142,MD,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.77,-0.65
10044597190,NY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.23
10045541784,AZ,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.21,.
10045686609,VA,10 to 99 EPs,0,Not Eligible,CAT1,1.0xAF,.,Average,High,-0.29,1.14
10045844003,LA,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.86,0.57
10045870226,OH,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.35
10046794471,GA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,.
10047245755,MD,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.27,.
10048140570,PA,100+ EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.39
10048251553,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,.
10049100023,LA,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.48,0.64
10049823293,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.07,0.65
10050076810,NJ,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.38,.
10050189000,NJ,10 to 99 EPs,1,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10051751284,MA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.13,.
10052842075,AR,100+ EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,2.35,.
10052986516,WI,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-1.45,.
10053427092,PA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.02
10054584202,TX,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10055607139,GA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.36,0.55
10055620173,WA,10 to 99 EPs,1,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10055745871,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.50,-0.11
10056105645,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.98,0.20
10056391031,VA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.27,-0.70
10056877472,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.79,0.33
10057652020,MA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.34
10057776827,PA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,.
10057900958,.,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10059302908,OH,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,.,0.01
10059432418,AL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.02,0.97
10060079981,MD,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,.,-1.36
10060931207,IL,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.05,.
10061462850,WA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.98,-0.19
10062192649,NY,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.32,.
10062645216,LA,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,.,0.57
10064315626,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.35,0.48
10065914058,NC,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.67,0.51
10066131393,LA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.47,.
10066629048,CO,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.72,1.16
10067974323,MD,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.41
10068345657,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.11,0.46
10068623776,CO,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,.
10068781875,WI,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10069351870,FL,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.29,-0.17
10070236021,NY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.57
10071830927,CT,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10072225123,NY,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-1.31,.
10072529533,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.88,0.35
10072594083,MI,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.41,.
10073129742,SC,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.93,0.17
10074004031,MD,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10074145475,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,.,-3.52
10074869930,FL,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.27,.
10075795271,LA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.68,0.97
10075996165,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.07
10076127537,ME,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.39
10076396226,NY,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.01,.
10076399453,WA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.45,0.05
10076520029,MA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-1.11,0.47
10077548530,MA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10077892656,MO,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,6.90,.
10080213328,TX,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,2.81,.
10080343411,MO,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-1.19,.
10080794124,VA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10080871587,OR,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.07,-0.03
10081990944,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,.,-2.70
10082057191,KY,10 to 99 EPs,0,Eligible,CAT1,2.0xAF,.,Low,Average,-1.78,0.34
10082256280,DE,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10082624159,NC,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.70
10082772915,TX,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.06,0.76
10083588281,CA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10084288435,CA,100+ EPs,1,Not Eligible,CAT1,-1.0%,.,Average,Low,-0.31,-1.01
10084476888,CA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.04,.
10085862640,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.57
10086285815,NY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.74
10086904162,TX,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10088118692,UT,10 to 99 EPs,1,Eligible,CAT1,2.0xAF,.,Low,Average,-1.08,0.28
10088458611,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.23
10089398711,KY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.54
10090587338,PA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.87,0.58
10091679434,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.40,0.34
10091938978,NH,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10093271046,CT,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.01,0.57
10094687187,MI,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-1.13,.
10095507424,FL,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.13,-0.35
10095533422,TN,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.17,.
10096155936,FL,10 to 99 EPs,1,N/A,CAT2,-2.0%,.,N/A,N/A,-1.27,.
10098200490,NY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.61,-0.34
10100300196,GA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.83,0.78
10100348166,GA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.30
10100509190,NC,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,High,Low,1.78,-1.00
10101018870,LA,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,.,0.66
10102896684,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.85,0.76
10103157110,MI,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.17,0.23
10103289651,VA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.29
10104169702,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.44
10104237593,MI,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.09,0.72
10105347762,GA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.55
10105513887,MA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.42,.
10105628381,NJ,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,.,0.12
10107936396,PA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.80,-0.53
10108815954,NJ,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,-1.09,-1.45
10109248416,MD,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10109549626,AK,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.24
10111664697,GA,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.69,0.59
10112066470,NJ,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,2.86,.
10112641959,MS,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,1.10,.
10112809719,IL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.21
10113400030,MO,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,-0.65,-1.04
10113445002,WV,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.73,0.58
10113568372,NY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.80,0.80
10114700220,TX,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10115005032,VA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.99,.
10115430374,KS,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.28
10115730195,VA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.38,0.42
10116668889,NV,100+ EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.13,.
10116703602,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.55
10117244500,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.61,0.37
10118325267,NY,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,.,0.45
10118942713,OH,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.33,-0.34
10119883174,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.45,0.61
10119960360,NY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.07,-0.22
10120380940,GA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.56
10121609578,OH,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.42,.
10122041605,IL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,.,-2.42
10122104290,CO,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.32,.
10122249229,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,-1.33,-1.47
10123813360,TX,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,2.49,.
10124103656,MN,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.17,.
10124669893,PA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10125688010,IA,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.66,0.64
10127518424,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,.,-5.27
10127573009,NV,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.93,.
10127813411,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.41
10128693961,NE,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.37,1.30
10129926955,MA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10130119003,NV,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.19,.
10130166538,FL,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.09,.
10130219090,ID,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10130308248,PA,100+ EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.63
10130649417,CA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-1.06,.
10130875414,WI,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.09,0.72
10131112834,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,.
10131751125,NY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.42
10134368381,GA,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.18,0.24
10134620071,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-1.26,-0.71
10135188452,NJ,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10136230719,.,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.00,.
10137148567,WI,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10138759611,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.95,-0.35
10140445023,CO,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.58,.
10140631760,MO,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,.,-2.15
10140945591,MN,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.40,0.11
10141434893,CA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-1.75,.
10142950768,.,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.54,0.75
10143681744,TN,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.46,0.05
10144492181,FL,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.80,-0.18
10145418491,NC,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.30,0.40
10145452330,IL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,0.28,-1.11
10146891382,NY,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.27,.
10146990030,NY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.25,0.35
10147338594,NY,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.01,-0.11
10147745801,CA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.23,.
10148095380,VA,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.03,0.86
10148255739,OR,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,-0.15,0.12
10148393307,MO,100+ EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.08,.
10149391483,ME,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.13,0.10
10149501644,CA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.16,.
10151199252,NE,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.95,.
10151236172,OH,100+ EPs,1,Not Eligible,CAT1,-1.0%,.,Average,Low,-0.01,-1.47
10152450640,WA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.57
10152755483,TN,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.26,0.13
10152765306,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.38
10152877202,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.54
10153996002,MN,100+ EPs,0,Not Eligible,CAT1,1.0xAF,.,Low,Average,-1.86,0.75
10155005546,NV,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.57
10155142388,FL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.42,-0.10
10155803394,OR,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.38,0.05
10155962296,LA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,4.50,.
10159399722,TX,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.47,-0.04
10159594648,PA,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.11,0.49
10160234976,IA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.33
10160774426,AZ,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.25,.
10163280669,MO,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.35,0.65
10164028085,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.20,-0.66
10164549002,OH,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,2.59,.
10165482651,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.48
10167491781,FL,10 to 99 EPs,1,Not Eligible,CAT1,0.0,.,Average,Low,.,-2.27
10168052696,TX,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,.
10169136113,KY,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,2.61,.
10169486332,IN,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-1.67,0.39
10169652156,IN,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.04,0.56
10170125957,MA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.04
10170746353,DC,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-1.83,.
10170910128,RI,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,-0.51
10171899954,NY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.47
10172159293,TX,100+ EPs,1,N/A,CAT2,-2.0%,.,N/A,N/A,0.28,.
10172552059,IL,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.29
10173654906,MD,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-0.30,.
10173876731,PA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,.
10174032413,OH,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.13,.
10174836051,PA,100+ EPs,1,Not Eligible,CAT1,0.0,.,Average,Average,0.24,0.03
10175756696,MO,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,.,-1.06
10176486050,WI,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,-1.28,.
10176752308,MS,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.44,0.24
10177350366,NJ,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,0.32
10177981919,MI,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.50,.
10178071529,FL,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,1.06,.
10179217449,OH,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.19,0.28
10179355389,OH,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10181256549,AR,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,0.36,-0.58
10181329686,NY,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.78,0.71
10181530591,MA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.57,0.62
10182884981,CO,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,.,.
10184253890,MN,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10185679207,TN,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.55,0.25
10185880401,VA,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Low,.,-1.54
10189145322,MI,10 to 99 EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.38,0.61
10189555330,OH,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,0.02,.
10189680893,VA,10 to 99 EPs,0,N/A,CAT2,-2.0%,.,N/A,N/A,.,.
10189685275,FL,100+ EPs,0,Not Eligible,CAT1,0.0,.,Average,Average,-0.85,-0.09
